time (sec),vo2 (kg/mL/min)
0.0,4.67
3.89,6.95
6.32,6.91
12.57,7.3
16.6,6.62
18.33,6.46
19.35,6.68
21.58,7.81
24.23,7.64
26.56,8.6
29.23,6.23
32.3,8.46
33.5,9.2
37.03,6.73
42.55,7.8
43.55,6.24
45.0,5.14
46.75,6.52
49.85,7.95
53.78,8.24
54.94,7.67
60.28,8.88
62.05,8.64
63.12,10.26
67.23,6.97
72.48,7.69
75.91,8.1
78.08,8.11
79.42,8.34
82.5,11.61
84.16,8.62
88.98,9.94
91.97,7.67
94.24,8.57
96.45,10.48
99.58,10.78
101.07,7.71
103.13,12.27
106.78,10.39
110.54,9.05
113.4,10.72
115.82,9.4
116.67,8.39
122.8,10.74
124.48,11.66
127.73,12.13
128.91,8.5
131.51,9.55
135.59,10.74
136.81,12.52
139.33,13.0
145.26,10.84
148.56,9.79
151.39,12.5
153.32,11.04
154.26,12.42
156.24,13.45
157.81,12.87
161.83,10.59
162.67,10.27
165.66,9.97
167.63,13.53
171.14,14.31
172.33,10.93
177.64,11.94
178.78,11.32
180.66,12.69
184.23,11.67
185.81,11.72
189.09,15.39
190.02,14.87
193.71,13.54
196.37,15.56
197.83,12.63
200.05,14.58
202.09,12.21
202.92,12.57
203.95,15.65
207.52,11.94
211.43,13.51
214.12,12.24
215.71,12.15
216.83,14.5
218.17,14.65
219.37,11.78
220.53,18.65
222.03,17.54
223.32,13.04
228.28,15.75
229.6,15.33
230.56,13.85
232.2,12.65
234.97,15.3
238.35,15.08
241.85,17.98
243.22,15.98
243.75,13.67
245.42,14.39
246.82,15.8
247.64,17.84
250.28,13.63
252.25,16.64
253.73,18.88
256.11,13.31
257.75,19.35
260.68,15.39
263.1,16.56
266.5,15.71
269.5,17.79
270.21,18.12
271.18,18.24
274.82,23.41
275.92,11.88
277.06,16.28
278.04,14.54
278.9,17.03
280.27,16.0
281.18,17.04
282.58,17.63
285.78,16.53
287.85,20.08
290.3,14.73
293.57,17.05
294.14,18.37
295.96,21.58
299.12,15.44
301.16,15.77
303.19,20.04
304.12,19.03
305.93,15.53
307.41,21.78
309.21,19.74
311.15,18.43
314.59,18.6
316.22,19.75
316.82,18.64
320.43,20.54
322.36,20.66
324.02,17.2
325.58,16.11
328.45,24.17
330.17,18.91
331.45,24.69
333.4,20.82
336.29,13.76
337.35,21.36
339.5,18.52
342.17,15.08
345.12,21.03
346.42,18.2
348.52,20.67
350.33,24.35
355.3,23.69
355.78,21.76
356.77,21.88
357.41,21.92
360.6,20.05
361.5,19.15
364.13,20.78
365.11,22.45
368.0,19.99
368.93,21.56
369.53,22.3
372.21,19.8
374.64,25.46
377.07,26.27
380.56,23.37
381.92,20.23
384.63,17.48
386.15,15.91
388.53,26.66
389.75,23.95
390.56,21.66
391.5,19.09
393.26,23.02
394.58,26.35
397.38,24.69
400.36,20.83
401.43,33.01
403.45,25.7
405.13,20.39
406.84,25.47
408.85,25.65
411.29,26.8
412.74,25.78
414.98,20.97
416.84,26.09
419.75,22.56
421.33,25.59
423.44,25.15
424.38,27.47
426.19,26.2
426.86,24.48
427.77,33.97
430.78,24.68
432.45,24.69
435.27,27.5
436.8,27.7
438.3,29.41
440.42,21.6
441.32,24.55
443.65,30.15
444.4,27.46
446.47,27.64
448.43,22.06
449.13,22.05
450.42,24.13
451.66,27.71
453.89,29.71
455.3,30.19
456.05,20.82
457.11,27.03
457.86,27.56
458.96,25.96
460.09,26.08
460.63,23.81
463.26,26.37
464.88,19.55
465.78,32.15
466.35,28.46
468.18,32.98
469.66,25.12
471.53,22.04
472.33,34.4
474.59,20.62
477.27,24.06
479.05,31.21
480.17,33.6
482.82,26.27
485.01,28.11
485.45,27.95
486.34,30.88
487.83,25.83
489.26,31.32
490.74,32.47
492.58,28.98
493.13,29.74
494.17,37.88
496.12,30.73
499.36,28.26
500.51,33.88
501.58,34.43
502.41,27.39
503.37,26.44
503.92,35.5
506.35,34.81
507.83,35.29
509.8,36.71
511.76,26.29
512.88,24.52
514.82,34.64
515.81,34.49
516.48,31.56
518.81,33.87
520.21,28.26
520.75,27.31
521.81,30.86
523.46,33.0
524.26,33.8
525.27,31.05
525.6,33.83
526.65,36.26
527.04,33.46
528.44,29.79
529.65,38.32
530.42,27.27
531.37,32.65
532.51,39.37
534.3,41.66
536.52,38.53
538.4,30.62
539.71,25.42
540.84,30.59
541.81,32.36
543.76,33.17
545.29,28.75
546.25,30.77
547.57,33.84
548.79,33.3
549.88,38.31
550.43,35.47
551.07,35.6
552.63,31.15
554.13,33.72
554.39,25.56
555.68,31.85
556.44,27.1
557.62,34.22
559.54,36.0
560.73,34.34
561.42,40.1
563.01,31.19
563.58,33.61
565.07,31.82
566.3,32.85
567.81,39.74
568.72,28.6
569.34,41.23
569.63,40.04
572.66,37.05
574.92,33.26
576.09,35.82
576.92,33.18
577.61,41.1
581.55,30.37
582.34,31.06
583.61,35.45
584.14,24.65
584.94,41.64
586.17,34.07
586.76,38.73
587.99,36.32
589.17,28.05
590.36,35.9
591.19,37.59
591.66,30.66
592.49,31.47
593.04,31.31
593.53,39.28
594.15,30.5
596.04,32.1
597.83,35.8
